01:01,02:02,03:03,04:04,05:05,06:06,07:07,08:08,09:09,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:20,21:21,22:22,23:23,00:00,synchrosum,subjectivesynchro,subjectivemood,productivity,unlocks,heartratedaily,heartrateresting,stepsphone,weight,skinproblems,sleepphone,sleepband,sleepavg,sleepdifference,sleep_fallasleep_time,sleepwakeupavg,sleepwakeupband,sleepwakeupphone,sleepwakeupquality,statehealth,staterelationship,stateselfesteem,stateinteligence,statesocialskill,stateimmerse,stres,workload,stimmg,stimsum,methylphenidatetabs,methylphenidatemg,alcohol,dietkcal,dietcarbs,dietprotein,dietfats,ageofmoon,earthsundistance,void,ocount,oquality,misssum,subjectivemisses,singletrialmean,singletrialsum,moonphase,id,weekcount,date,day_of_the_week,luck
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20.721,1.0165049,NULL,NULL,NULL,2,NULL,NULL,NULL,59.37,176,26,2020-07-12 00:00:00,nie,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,-1,NULL,2,NULL,NULL,NULL,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21.721,1.0164591,NULL,NULL,NULL,7,NULL,NULL,NULL,49.93,177,27,2020-07-13 00:00:00,pon,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.721,1.0164087,NULL,NULL,NULL,6,NULL,NULL,NULL,40.47,178,27,2020-07-14 00:00:00,wto,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.721,1.0163537,NULL,NULL,NULL,6,NULL,NULL,NULL,31.27,179,27,2020-07-15 00:00:00,sro,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,-1,NULL,NULL,NULL,-1,-1,NULL,NULL,NULL,4,NULL,NULL,NULL,57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24.721,1.0162939,NULL,NULL,NULL,6,NULL,NULL,NULL,22.63,180,27,2020-07-16 00:00:00,czw,NULL
NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,06.sie,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25.721,1.0162295,NULL,NULL,NULL,4,NULL,NULL,NULL,14.88,181,27,2020-07-17 00:00:00,pia,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,1,NULL,NULL,NULL,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,05.lut,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.721,1.0161604,NULL,NULL,NULL,6,NULL,NULL,NULL,sie.38,182,27,2020-07-18 00:00:00,sob,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,-1,-1,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,05.lut,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27.721,1.0160865,NULL,NULL,NULL,7,NULL,NULL,NULL,mar.52,183,27,2020-07-19 00:00:00,nie,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,-1,NULL,-1,3,NULL,NULL,NULL,61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,04.lut,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28.721,1.016008,NULL,NULL,NULL,5,NULL,NULL,NULL,0.67,184,28,2020-07-20 00:00:00,pon,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,02.lut,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.269,1.0159249,NULL,NULL,NULL,5,NULL,NULL,NULL,0.15,185,28,2020-07-21 00:00:00,wto,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,02.lut,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.269,1.0158373,NULL,NULL,NULL,6,NULL,NULL,NULL,lut.15,186,28,2020-07-22 00:00:00,sro,NULL
-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,04.lut,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.269,1.0157452,NULL,NULL,NULL,5,NULL,NULL,NULL,cze.69,187,28,2020-07-23 00:00:00,czw,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.269,1.0156484,NULL,NULL,NULL,5,NULL,NULL,NULL,13.59,188,28,2020-07-24 00:00:00,pia,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.269,1.0155472,NULL,NULL,NULL,5,NULL,NULL,NULL,22.49,189,28,2020-07-25 00:00:00,sob,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,1,NULL,NULL,NULL,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.269,1.0154413,NULL,NULL,NULL,2,NULL,NULL,NULL,32.86,190,28,2020-07-26 00:00:00,nie,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,2,NULL,NULL,NULL,84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,05.lut,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.269,1.0153309,NULL,NULL,NULL,4,NULL,NULL,NULL,44.11,191,29,2020-07-27 00:00:00,pon,NULL
NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,06.sie,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.269,1.0152164,NULL,NULL,NULL,0,NULL,NULL,NULL,55.59,192,29,2020-07-28 00:00:00,wto,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,06.sie,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.269,1.0150971,NULL,NULL,NULL,2,NULL,NULL,NULL,66.66,193,29,2020-07-29 00:00:00,sro,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,06.sie,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9.269,1.0149738,NULL,NULL,NULL,2,NULL,NULL,NULL,76.76,194,29,2020-07-30 00:00:00,czw,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,06.sie,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.269,1.0148461,NULL,NULL,NULL,6,NULL,NULL,NULL,85.41,195,29,2020-07-31 00:00:00,pia,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,06.sie,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11.269,1.0147139,NULL,NULL,NULL,3,NULL,NULL,NULL,92.22,196,29,2020-08-01 00:00:00,sob,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,04.sie,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12.269,1.0145779,NULL,NULL,NULL,8,NULL,NULL,NULL,96.94,197,29,2020-08-02 00:00:00,nie,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,1,NULL,NULL,NULL,49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13.269,1.0144373,NULL,NULL,NULL,5,NULL,NULL,NULL,99.46,198,30,2020-08-03 00:00:00,pon,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.269,1.0142927,NULL,NULL,NULL,7,NULL,NULL,NULL,99.77,199,30,2020-08-04 00:00:00,wto,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15.269,1.0141439,NULL,NULL,NULL,12,NULL,NULL,NULL,98.01,200,30,2020-08-05 00:00:00,sro,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16.269,1.0139912,NULL,NULL,NULL,11,NULL,NULL,NULL,94.35,201,30,2020-08-06 00:00:00,czw,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17.269,1.0138344,NULL,NULL,NULL,8,NULL,NULL,NULL,89.05,202,30,2020-08-07 00:00:00,pia,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18.269,1.0136734,NULL,NULL,NULL,3,NULL,NULL,NULL,82.38,203,30,2020-08-08 00:00:00,sob,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19.269,1.0135089,NULL,NULL,NULL,4,NULL,NULL,NULL,74.61,204,30,2020-08-09 00:00:00,nie,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,1,NULL,NULL,NULL,73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20.269,1.0133402,NULL,NULL,NULL,6,NULL,NULL,NULL,65.98,205,31,2020-08-10 00:00:00,pon,NULL
-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21.269,1.0131679,NULL,NULL,NULL,9,NULL,NULL,NULL,56.77,206,31,2020-08-11 00:00:00,wto,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,2,NULL,NULL,NULL,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.269,1.0129914,NULL,NULL,NULL,5,NULL,NULL,NULL,47.23,207,31,2020-08-12 00:00:00,sro,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,-1,NULL,NULL,3,NULL,NULL,NULL,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.269,1.0128114,NULL,NULL,NULL,5,NULL,NULL,NULL,37.63,208,31,2020-08-13 00:00:00,czw,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,-1,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24.269,1.0126277,NULL,NULL,NULL,7,NULL,NULL,NULL,28.29,209,31,2020-08-14 00:00:00,pia,NULL
-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25.269,1.0124402,NULL,NULL,NULL,6,NULL,NULL,NULL,19.58,210,31,2020-08-15 00:00:00,sob,NULL
-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,-1,NULL,4,NULL,NULL,NULL,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.269,1.0122491,NULL,NULL,NULL,1,NULL,NULL,NULL,lis.94,211,31,2020-08-16 00:00:00,nie,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27.269,1.0120544,NULL,NULL,NULL,5,NULL,NULL,NULL,maj.83,212,32,2020-08-17 00:00:00,pon,NULL
-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,-1,NULL,NULL,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,6,NULL,NULL,NULL,71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28.269,1.0118562,NULL,NULL,NULL,5,NULL,NULL,NULL,sty.77,213,32,2020-08-18 00:00:00,wto,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,-1,NULL,NULL,-1,NULL,3,NULL,NULL,NULL,108,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29.269,1.0116545,NULL,NULL,NULL,7,NULL,NULL,NULL,0.16,214,32,2020-08-19 00:00:00,sro,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.888,1.0114495,NULL,NULL,NULL,6,NULL,NULL,NULL,sty.29,215,32,2020-08-20 00:00:00,czw,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.888,1.0112408,NULL,NULL,NULL,7,NULL,NULL,NULL,maj.22,216,32,2020-08-21 00:00:00,pia,NULL
NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.888,1.0110291,NULL,NULL,NULL,6,NULL,NULL,NULL,lis.73,217,32,2020-08-22 00:00:00,sob,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,3,NULL,NULL,NULL,52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.888,1.0108141,NULL,NULL,NULL,6,NULL,NULL,NULL,20.39,218,32,2020-08-23 00:00:00,nie,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.888,1.0105957,NULL,NULL,NULL,6,NULL,NULL,NULL,30.59,219,33,2020-08-24 00:00:00,pon,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,4,NULL,NULL,NULL,63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.888,1.0103742,NULL,NULL,NULL,8,NULL,NULL,NULL,41.66,220,33,2020-08-25 00:00:00,wto,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,-1,2,NULL,NULL,NULL,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.888,1.0101498,NULL,NULL,NULL,7,NULL,NULL,NULL,52.95,221,33,2020-08-26 00:00:00,sro,NULL
