01:01,02:02,03:03,04:04,05:05,06:06,07:07,08:08,09:09,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:20,21:21,22:22,23:23,00:00,synchrosum,subjectivesynchro,subjectivemood,productivity,unlocks,heartratedaily,heartrateresting,stepsphone,weight,skinproblems,sleepphone,sleepband,sleepavg,sleepdifference,sleep_fallasleep_time,sleepwakeupavg,sleepwakeupband,sleepwakeupphone,sleepwakeupquality,statehealth,staterelationship,stateselfesteem,stateinteligence,statesocialskill,stateimmerse,stres,workload,stimmg,stimsum,methylphenidatetabs,methylphenidatemg,alcohol,dietkcal,dietcarbs,dietprotein,dietfats,ageofmoon,earthsundistance,void,ocount,oquality,misssum,subjectivemisses,singletrialmean,singletrialsum,moonphase,id,weekcount,date,day_of_the_week,luck
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.353,0.9923392,NULL,NULL,NULL,0,NULL,NULL,NULL,71.96,47,8,2020-03-05 00:00:00,czw,NULL
-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11.353,0.9925975,NULL,NULL,NULL,0,NULL,NULL,NULL,81.25,48,8,2020-03-06 00:00:00,pia,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12.353,0.9928579,NULL,NULL,NULL,0,NULL,NULL,NULL,89.28,49,8,2020-03-07 00:00:00,sob,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13.353,0.9931204,NULL,NULL,NULL,0,NULL,NULL,NULL,95.39,50,8,2020-03-08 00:00:00,nie,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,-1,NULL,NULL,3,NULL,NULL,NULL,81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.353,0.993385,NULL,NULL,NULL,0,NULL,NULL,NULL,99.01,51,9,2020-03-09 00:00:00,pon,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,-1,NULL,NULL,3,NULL,NULL,NULL,98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15.353,0.9936513,NULL,NULL,NULL,0,NULL,NULL,NULL,99.71,52,9,2020-03-10 00:00:00,wto,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,-1,-1,NULL,-1,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,-1,NULL,NULL,6,NULL,NULL,NULL,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16.353,0.9939198,NULL,NULL,NULL,0,NULL,NULL,NULL,97.38,53,9,2020-03-11 00:00:00,sro,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17.353,0.9941899,NULL,NULL,NULL,3,NULL,NULL,NULL,92.19,54,9,2020-03-12 00:00:00,czw,NULL
-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18.353,0.9944617,NULL,NULL,NULL,1,NULL,NULL,NULL,84.65,55,9,2020-03-13 00:00:00,pia,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,-1,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,-1,4,NULL,NULL,NULL,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19.353,0.9947352,NULL,NULL,NULL,0,NULL,NULL,NULL,75.38,56,9,2020-03-14 00:00:00,sob,NULL
